1,1009,AAPL,170.50,50
2,1009,MSFT,260.00,30
3,1009,GOOGL,2200.00,15
4,1010,AAPL,170.50,60
5,1010,MSFT,260.00,40
6,1010,GOOGL,2200.00,20
7,1011,AAPL,170.50,50
8,1011,MSFT,260.00,30
9,1011,GOOGL,2200.00,10
10,1012,AAPL,170.50,60
11,1012,MSFT,260.00,40
12,1012,AMZN,3300.00,10
13,1013,GOOGL,2200.00,20
14,1013,AMZN,3300.00,15
15,1014,AAPL,170.50,50
16,1014,MSFT,260.00,30
17,1014,TSLA,680.00,20
18,1015,GOOGL,2200.00,10
19,1015,AMZN,3300.00,20
20,1016,AAPL,170.50,60
21,1016,MSFT,260.00,40
22,1016,NVDA,540.00,15
23,1017,GOOGL,2200.00,20
24,1017,AMZN,3300.00,10
25,1018,AAPL,170.50,50
26,1018,MSFT,260.00,30
27,1018,FB,310.00,25
28,1019,GOOGL,2200.00,10
29,1019,AMZN,3300.00,20
30,1020,AAPL,170.50,70
31,1020,MSFT,260.00,50
32,1020,JPM,155.00,30
33,1021,GOOGL,2200.00,30
34,1021,AMZN,3300.00,15
35,1022,AAPL,170.50,60
36,1022,MSFT,260.00,40
37,1022,V,230.00,25
38,1023,GOOGL,2200.00,20
39,1023,AMZN,3300.00,10
